,muestra,solvente
4.125E-24,2.62044E+23,1.95154E+23
4.11642E-24,2.48316E+23,2.07594E+23
4.10788E-24,2.35217E+23,2.27562E+23
4.09938E-24,2.68327E+23,2.32238E+23
4.09091E-24,4.2272E+23,2.71554E+23
4.08247E-24,3.68678E+23,3.26317E+23
4.07407E-24,3.8015E+23,4.07215E+23
4.06571E-24,4.90476E+23,4.38334E+23
4.05738E-24,5.06762E+23,4.3346E+23
4.04908E-24,6.18815E+23,5.77551E+23
4.04082E-24,6.94536E+23,5.62323E+23
4.03259E-24,8.19869E+23,7.09933E+23
4.02439E-24,9.71386E+23,9.94654E+23
4.01623E-24,1.79537E+24,1.50616E+24
4.0081E-24,3.332E+24,2.83921E+24
4E-24,4.95509E+24,4.58739E+24
3.99194E-24,7.96652E+24,7.16205E+24
3.9839E-24,1.11737E+25,1.08481E+25
3.9759E-24,1.87055E+25,1.71438E+25
3.96794E-24,4.13028E+25,4.0053E+25
3.96E-24,3.00536E+26,2.96202E+26
3.9521E-24,1.03265E+27,1.01952E+27
3.94422E-24,1.30902E+27,1.30902E+27
3.93638E-24,5.95025E+26,6.13702E+26
3.92857E-24,7.44962E+25,7.67753E+25
3.92079E-24,2.38899E+25,2.52972E+25
3.91304E-24,1.35058E+25,1.42469E+25
3.90533E-24,7.62476E+24,8.16929E+24
3.89764E-24,4.60912E+24,4.52069E+24
3.88998E-24,2.91978E+24,2.84343E+24
3.88235E-24,1.89202E+24,1.89257E+24
3.87476E-24,1.41782E+24,1.36327E+24
3.86719E-24,1.32086E+24,1.21049E+24
3.85965E-24,1.18129E+24,1.07359E+24
3.85214E-24,1.07968E+24,8.1587E+23
3.84466E-24,9.70492E+23,7.02872E+23
3.83721E-24,7.89255E+23,6.59449E+23
3.82979E-24,1.03549E+24,6.48486E+23
3.82239E-24,1.0025E+24,5.68105E+23
3.81503E-24,9.99646E+23,6.26597E+23
3.80769E-24,1.10746E+24,5.44693E+23
3.80038E-24,1.42142E+24,4.75546E+23
3.7931E-24,1.35886E+24,4.4969E+23
3.78585E-24,1.72574E+24,4.66469E+23
3.77863E-24,2.02343E+24,4.12866E+23
3.77143E-24,2.03028E+24,3.98938E+23
3.76426E-24,2.47904E+24,3.27806E+23
3.75712E-24,2.51632E+24,3.20354E+23
3.75E-24,3.20855E+24,2.94283E+23
3.74291E-24,3.54629E+24,2.78487E+23
3.73585E-24,4.18882E+24,2.43634E+23
3.72881E-24,5.0864E+24,2.97298E+23
3.7218E-24,5.68566E+24,3.16529E+23
3.71482E-24,6.7971E+24,2.5341E+23
3.70787E-24,8.2651E+24,2.58733E+23
3.70093E-24,9.16934E+24,3.00437E+23
3.69403E-24,1.04694E+25,3.25894E+23
3.68715E-24,1.32441E+25,2.45856E+23
3.6803E-24,1.51305E+25,2.51002E+23
3.67347E-24,1.7041E+25,2.12593E+23
3.66667E-24,2.00238E+25,2.44069E+23
3.65989E-24,2.39549E+25,3.14742E+23
3.65314E-24,2.65836E+25,3.29849E+23
3.64641E-24,3.15457E+25,2.7251E+23
3.63971E-24,3.46121E+25,2.62871E+23
3.63303E-24,3.87923E+25,3.39395E+23
3.62637E-24,4.387E+25,3.20793E+23
3.61974E-24,5.02362E+25,2.7366E+23
3.61314E-24,5.39292E+25,2.76424E+23
3.60656E-24,6.19229E+25,2.43792E+23
3.6E-24,6.83379E+25,2.2016E+23
3.59347E-24,7.25141E+25,2.84394E+23
3.58696E-24,7.94225E+25,2.80538E+23
3.58047E-24,8.53991E+25,3.16639E+23
3.57401E-24,9.31529E+25,3.50236E+23
3.56757E-24,9.74322E+25,2.89141E+23
3.56115E-24,1.01359E+26,3.15901E+23
3.55476E-24,1.05347E+26,4.0541E+23
3.54839E-24,1.07952E+26,3.60487E+23
3.54204E-24,1.11008E+26,2.58202E+23
3.53571E-24,1.13303E+26,2.75141E+23
3.52941E-24,1.15126E+26,2.99511E+23
3.52313E-24,1.14949E+26,2.84259E+23
3.51687E-24,1.1367E+26,2.83563E+23
3.51064E-24,1.13726E+26,3.12507E+23
3.50442E-24,1.12393E+26,3.07996E+23
3.49823E-24,1.13102E+26,3.29969E+23
3.49206E-24,1.10599E+26,3.1418E+23
3.48592E-24,1.07656E+26,3.13473E+23
3.47979E-24,1.04125E+26,3.67385E+23
3.47368E-24,1.04367E+26,3.82883E+23
3.4676E-24,9.96325E+25,3.00941E+23
3.46154E-24,9.68996E+25,3.14265E+23
3.4555E-24,9.4602E+25,2.98072E+23
3.44948E-24,9.27767E+25,2.45296E+23
3.44348E-24,8.96666E+25,3.33989E+23
3.4375E-24,8.67971E+25,2.22336E+23
3.43154E-24,8.46869E+25,3.33177E+23
3.42561E-24,8.13601E+25,2.92322E+23
3.41969E-24,7.71237E+25,3.20299E+23
3.41379E-24,7.75313E+25,2.94791E+23
3.40792E-24,7.38876E+25,2.34442E+23
3.40206E-24,7.15972E+25,3.29747E+23
3.39623E-24,7.00793E+25,3.50747E+23
3.39041E-24,6.6858E+25,3.07406E+23
3.38462E-24,6.53516E+25,3.37543E+23
3.37884E-24,6.37275E+25,3.46098E+23
3.37308E-24,6.35363E+25,2.7358E+23
3.36735E-24,6.23624E+25,2.71967E+23
3.36163E-24,6.0787E+25,2.98064E+23
3.35593E-24,6.18383E+25,2.783E+23
3.35025E-24,5.70937E+25,2.29802E+23
3.34459E-24,5.79035E+25,3.12965E+23
3.33895E-24,5.65393E+25,2.54064E+23
3.33333E-24,5.57103E+25,3.2476E+23
3.32773E-24,5.41266E+25,2.40202E+23
3.32215E-24,5.44992E+25,2.57751E+23
3.31658E-24,5.22795E+25,2.65561E+23
3.31104E-24,5.20954E+25,1.92415E+23
3.30551E-24,4.98006E+25,2.8148E+23
3.3E-24,4.88973E+25,3.2587E+23
3.29451E-24,4.70422E+25,2.30024E+23
3.28904E-24,4.69236E+25,2.58918E+23
3.28358E-24,4.63963E+25,3.04438E+23
3.27815E-24,4.56624E+25,3.67167E+23
3.27273E-24,4.71167E+25,2.78529E+23
3.26733E-24,4.35985E+25,1.98857E+23
3.26194E-24,4.18309E+25,2.79394E+23
3.25658E-24,4.32526E+25,3.44905E+23
3.25123E-24,3.98876E+25,2.28851E+23
